Driver Age,Driver Experience,Previous Accidents,Annual Mileage (x1000 km),Car Manufacturing Year,Car Age,Insurance Premium ($)
56,7,0,22,2009,16,489.4
46,23,2,21,1990,35,491.45
32,10,5,13,1997,28,501.55
60,16,1,16,2005,20,487.5
25,7,4,17,2003,22,501.95
38,20,3,16,2001,24,494.1
56,34,1,24,2012,13,482.6
36,18,5,24,2004,21,498.2
40,4,3,16,2017,8,496.9
28,10,2,16,2023,2,495.4
28,10,2,23,1991,34,498.95
41,23,0,13,2021,4,485.95
53,6,5,16,2012,13,497.2
57,8,4,18,2011,14,494.5
41,7,3,21,2014,11,496.35
20,2,1,21,2011,14,499.35
39,21,5,12,2011,14,495.4
19,1,5,15,1995,30,507.15
41,22,2,24,2004,21,491.5
61,23,0,11,2022,3,481.75
47,29,0,22,1997,28,485.8
55,34,3,25,1994,31,487.65
19,1,2,11,1993,32,502.65
38,20,5,15,1995,30,497.65
50,26,4,22,2021,4,489.7
29,11,2,23,2019,6,495.65
39,0,3,13,2024,1,497.45
61,34,3,14,2005,20,484.8
42,24,2,13,2002,23,490.35
44,13,3,11,2019,6,492.95
59,2,2,11,2008,17,492.85
45,0,1,22,2006,19,495.5
33,4,2,22,2008,17,498.0
32,14,2,24,2017,8,494.4
64,13,3,23,2015,10,489.95
61,38,3,24,2015,10,483.1
20,2,0,15,2012,13,497.45
54,8,0,16,1998,27,490.3
24,6,1,13,2001,24,497.95
38,14,0,22,1990,35,492.8
26,8,2,19,1990,35,499.85
56,12,3,15,2023,2,490.65
35,17,0,18,2021,4,489.2
21,3,0,23,2014,11,497.15
42,24,1,11,1990,35,489.95
31,3,5,24,2005,20,503.6
26,8,1,15,1994,31,497.75
43,25,2,25,2011,14,489.55
19,1,3,13,2018,7,501.75
37,19,1,22,1992,33,492.8
45,14,0,11,2001,24,489.75
64,28,3,14,2015,10,485.0
24,6,3,25,2005,20,501.15
61,12,0,23,2011,14,486.75
25,7,1,15,2018,7,495.85
64,6,0,17,2003,22,488.45
52,21,5,11,2017,8,492.15
31,13,3,13,1994,31,498.15
34,1,4,12,2019,6,500.1
53,5,4,19,1994,31,497.95
57,27,2,20,2001,24,486.9
21,3,0,25,2005,20,498.15
19,1,0,16,2015,10,497.7
23,5,2,20,2015,10,498.9
59,10,2,13,2010,15,490.35
21,3,2,18,2025,0,498.8
46,24,3,24,2022,3,489.6
35,17,5,18,2019,6,496.9
43,25,0,12,2012,13,485.8
61,0,3,25,1999,26,496.15
51,26,2,16,1994,31,488.9
27,9,0,17,2025,0,492.75
53,35,3,12,2023,2,484.2
31,2,5,25,2020,5,502.45
48,30,3,21,1999,26,489.55
65,5,5,20,2008,17,495.7
32,7,2,12,2021,4,495.5
25,7,5,20,1990,35,504.9
31,8,0,11,1994,31,495.05
40,22,2,18,1993,32,492.5
57,32,0,11,2005,20,481.55
38,20,4,19,2013,12,494.55
33,14,1,21,2005,20,493.75
62,31,5,16,1991,34,490.0
35,17,1,17,2017,8,491.05
64,23,1,23,2021,4,483.35
41,23,5,20,2016,9,494.3
43,11,2,17,2009,16,493.55
42,24,4,20,2013,12,492.6
62,1,0,13,2001,24,490.35
58,2,3,12,2024,1,493.0
46,28,0,19,2022,3,483.65
32,14,3,18,2022,3,495.1
62,1,0,23,2001,24,490.85
18,0,5,22,1992,33,508.3
42,24,4,20,1990,35,494.9
24,6,3,17,2022,3,499.05
26,8,2,19,1999,26,498.95
41,23,0,14,2018,7,486.3
18,0,0,23,2002,23,499.85
